sno,present,custom_number,name,author,publisher,publishing_year,price,categories,
1,,1,வெற்றித் திருநகர்,அகிலன்,தாகம் பதிப்பகம்,2003,200.00,வரலாற்று நாவல்,
3,,3,ரோமாபுரி ராணிகள்,அறிஞர் அண்ணா,பூம்புகார் பதிப்பகம் ,2002,25.00,வரலாற்று நாவல்,
4,,4,காஞ்சி தாரகை ,அனுஷா வெங்கடேஷ் ,வானதி பதிப்பகம் ,2015,,வரலாற்று நாவல்,
5,,5,காவிரி மைந்தன் - 1,அனுஷா வெங்கடேஷ் ,வானதி பதிப்பகம் ,2015,210.00,வரலாற்று நாவல்,
6,,6,காவிரி மைந்தன் - 2,அனுஷா வெங்கடேஷ் ,வானதி பதிப்பகம்,2015,210.00,வரலாற்று நாவல்,
7,,7,காவிரி மைந்தன் - 3,அனுஷா வெங்கடேஷ் ,வானதி பதிப்பகம்,2015,180.00,வரலாற்று நாவல்,
8,,8,தில்லையில் ஒரு கொள்ளைக்காரன்,அனுஷா வெங்கடேஷ்,அவென்யூ பிரஸ்,2007,150.00,வரலாற்று நாவல்,
9,,9,பாபர் நாமா,ஆர்.பி.சாரதி,மதி நிலையம்,2011,400.00,வரலாற்று நாவல்,
10,,10,ஆதித்தன் காதலி - 1,ஆர்.வி,வானதி பதிப்பகம் ,1996,55.00,வரலாற்று நாவல்,
11,,11,ஆதித்தன் காதலி - 2,ஆர்.வி,வானதி பதிப்பகம் ,1996,60.00,வரலாற்று நாவல்,
12,,12,டணாய்க்கன் கோட்டை,இ.பாலகிருஷ்ணன்,அம்ருதா பதிப்பகம்,2007,300.00,வரலாற்று நாவல்,
13,,13,பாண்டிய நாயகி,இந்திரா சௌந்தர்ராஜன்,திருமகள் நிலையம்,1999,67.00,வரலாற்று நாவல்,
14,,14,யாதவராணி ,இந்திரா சுப்பிரமணி,விசாலாட்சி நிலையம்,2001,55.00,வரலாற்று நாவல்,
15,,15,வஞ்சியின் செல்வன்,இரா.மலர்விழி,வானதி பதிப்பகம் ,2013,200.00,வரலாற்று நாவல்,
16,,16,மிளிர் கல் ,இரா.முருகவேள்,பொன்னுலகம் பதிப்பகம்,2014,200.00,வரலாற்று நாவல்,
17,,17,வால்மீகி இராமாயணம்,குருவிக்கரம்பை வேலு,சாளரம் பதிப்பகம்,2005,100.00,ஆன்மீகம்,
18,,18,சிங்களத்துப் புயல் ,உதயணன்,சீதை பதிப்பகம்,2012,100.00,வரலாற்று நாவல்,
